ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
3,Tanushree,22,90.0
ID,Name,Age,Marks
1,Yaman,20,85.5
2,Vatsalya,21,78.2
